id,idprato,quantidade,idespaco
801,5,1,5
802,21,1,5
803,6,2,5
804,10,10,5
805,15,4,5
806,2,8,5
807,14,7,5
808,5,4,5
809,23,6,5
810,3,6,5
811,16,3,5
812,5,9,5
813,11,2,5
814,15,1,5
815,14,2,5
816,19,8,5
817,8,3,5
818,11,1,5
819,13,5,5
820,14,6,5
821,22,8,5
822,23,5,5
823,2,5,5
824,2,7,5
825,21,8,5
826,7,8,5
827,23,10,5
828,3,10,5
829,6,1,5
830,22,6,5
831,22,5,5
832,18,10,5
833,19,1,5
834,20,6,5
835,1,9,5
836,14,8,5
837,10,1,5
838,13,9,5
839,1,4,5
840,15,3,5
841,1,10,5
842,4,5,5
843,20,9,5
844,23,5,5
845,9,8,5
846,11,6,5
847,11,3,5
848,21,3,5
849,20,7,5
850,22,8,5
851,12,5,5
852,9,2,5
853,15,10,5
854,6,6,5
855,17,10,5
856,5,3,5
857,1,5,5
858,15,5,5
859,14,10,5
860,20,2,5
861,3,10,5
862,20,4,5
863,10,3,5
864,19,10,5
865,22,1,5
866,2,9,5
867,23,6,5
868,22,5,5
869,10,7,5
870,19,5,5
871,6,2,5
872,8,1,5
873,2,6,5
874,1,1,5
875,16,2,5
876,22,4,5
877,16,4,5
878,11,2,5
879,5,7,5
880,21,4,5
881,23,3,5
882,10,1,5
883,14,10,5
884,8,6,5
885,14,8,5
886,4,1,5
887,19,10,5
888,17,5,5
889,17,2,5
890,3,6,5
891,15,4,5
892,5,10,5
893,9,5,5
894,5,3,5
895,11,4,5
896,23,9,5
897,18,9,5
898,1,4,5
899,17,9,5
900,5,7,5
901,10,5,5
902,10,8,5
903,5,5,5
904,15,6,5
905,5,7,5
906,20,1,5
907,20,9,5
908,3,9,5
909,6,2,5
910,2,5,5
911,9,3,5
912,11,10,5
913,6,8,5
914,21,5,5
915,19,10,5
916,22,8,5
917,1,9,5
918,22,2,5
919,3,4,5
920,1,6,5
921,22,2,5
922,23,9,5
923,23,4,5
924,13,6,5
925,22,10,5
926,20,10,5
927,4,10,5
928,20,10,5
929,11,9,5
930,14,7,5
931,14,10,5
932,12,2,5
933,19,9,5
934,18,10,5
935,10,5,5
936,10,2,5
937,5,8,5
938,23,4,5
939,11,4,5
940,16,4,5
941,12,6,5
942,21,2,5
943,10,5,5
944,9,8,5
945,13,10,5
946,11,8,5
947,1,2,5
948,1,8,5
949,22,8,5
950,17,4,5
951,13,2,5
952,16,1,5
953,1,1,5
954,23,6,5
955,11,4,5
956,17,10,5
957,11,7,5
958,17,6,5
959,8,5,5
960,19,9,5
961,22,6,5
962,12,4,5
963,10,2,5
964,5,9,5
965,21,6,5
966,6,7,5
967,16,9,5
968,6,2,5
969,16,9,5
970,2,8,5
971,10,3,5
972,4,9,5
973,7,10,5
974,22,5,5
975,7,8,5
976,15,3,5
977,2,5,5
978,5,6,5
979,21,2,5
980,16,5,5
981,23,6,5
982,16,1,5
983,19,3,5
984,3,2,5
985,10,2,5
986,6,7,5
987,18,1,5
988,11,6,5
989,16,6,5
990,2,3,5
991,1,6,5
992,11,4,5
993,23,8,5
994,11,4,5
995,15,7,5
996,19,3,5
997,4,10,5
998,10,9,5
999,10,1,5
1000,12,5,5
