id,idprato,quantidade,idespaco
401,23,1,3
402,11,7,3
403,8,1,3
404,8,8,3
405,23,7,3
406,4,6,3
407,1,2,3
408,23,5,3
409,7,3,3
410,16,3,3
411,22,9,3
412,8,1,3
413,11,4,3
414,20,10,3
415,4,3,3
416,23,10,3
417,16,7,3
418,13,7,3
419,20,5,3
420,3,9,3
421,11,6,3
422,23,7,3
423,22,2,3
424,2,1,3
425,6,1,3
426,22,5,3
427,15,3,3
428,1,1,3
429,23,3,3
430,16,6,3
431,7,3,3
432,13,1,3
433,4,4,3
434,7,9,3
435,17,7,3
436,2,4,3
437,6,2,3
438,8,2,3
439,17,7,3
440,12,10,3
441,12,2,3
442,5,1,3
443,12,5,3
444,6,2,3
445,17,6,3
446,10,9,3
447,11,5,3
448,20,7,3
449,14,9,3
450,2,2,3
451,23,3,3
452,19,10,3
453,9,5,3
454,5,6,3
455,6,9,3
456,16,2,3
457,13,9,3
458,6,9,3
459,4,2,3
460,23,7,3
461,21,1,3
462,13,6,3
463,13,5,3
464,16,10,3
465,3,2,3
466,15,4,3
467,20,7,3
468,2,4,3
469,11,1,3
470,22,1,3
471,4,10,3
472,12,2,3
473,22,9,3
474,18,2,3
475,5,3,3
476,4,9,3
477,4,8,3
478,9,7,3
479,10,6,3
480,3,10,3
481,7,6,3
482,6,10,3
483,1,3,3
484,1,10,3
485,20,8,3
486,6,2,3
487,4,4,3
488,18,10,3
489,22,7,3
490,6,10,3
491,9,4,3
492,1,10,3
493,2,3,3
494,16,4,3
495,8,6,3
496,8,3,3
497,7,2,3
498,10,2,3
499,12,8,3
500,9,7,3
501,21,1,3
502,12,9,3
503,2,5,3
504,6,2,3
505,20,8,3
506,22,5,3
507,19,10,3
508,22,8,3
509,10,10,3
510,11,7,3
511,21,9,3
512,12,8,3
513,18,4,3
514,18,8,3
515,19,7,3
516,21,8,3
517,14,3,3
518,10,6,3
519,16,8,3
520,7,3,3
521,20,1,3
522,6,10,3
523,6,9,3
524,23,8,3
525,21,5,3
526,4,10,3
527,13,10,3
528,9,1,3
529,3,10,3
530,13,5,3
531,5,8,3
532,3,1,3
533,4,9,3
534,2,4,3
535,10,10,3
536,20,2,3
537,17,4,3
538,13,10,3
539,2,9,3
540,8,5,3
541,13,6,3
542,7,7,3
543,18,8,3
544,15,6,3
545,2,10,3
546,22,2,3
547,4,10,3
548,20,2,3
549,21,9,3
550,4,2,3
551,18,8,3
552,6,2,3
553,2,9,3
554,2,7,3
555,21,2,3
556,21,2,3
557,16,10,3
558,8,1,3
559,16,2,3
560,20,4,3
561,9,10,3
562,2,6,3
563,11,8,3
564,8,10,3
565,12,4,3
566,3,6,3
567,14,9,3
568,19,5,3
569,5,1,3
570,1,1,3
571,22,6,3
572,21,5,3
573,16,3,3
574,15,9,3
575,22,7,3
576,14,6,3
577,10,10,3
578,18,4,3
579,12,8,3
580,6,6,3
581,2,7,3
582,6,3,3
583,13,5,3
584,22,2,3
585,23,2,3
586,19,1,3
587,8,2,3
588,22,1,3
589,9,1,3
590,2,9,3
591,9,2,3
592,9,10,3
593,21,7,3
594,3,5,3
595,17,8,3
596,8,2,3
597,2,8,3
598,22,2,3
599,22,1,3
600,20,8,3
