2,801,8,5
15,802,8,5
16,803,1,5
13,804,9,5
3,805,2,5
15,806,5,5
17,807,9,5
13,808,4,5
18,809,6,5
13,810,7,5
8,811,9,5
5,812,10,5
8,813,10,5
3,814,1,5
8,815,3,5
11,816,1,5
13,817,2,5
20,818,3,5
8,819,8,5
2,820,9,5
18,821,7,5
10,822,8,5
17,823,3,5
18,824,6,5
11,825,6,5
3,826,6,5
9,827,8,5
4,828,4,5
10,829,9,5
19,830,8,5
16,831,5,5
9,832,7,5
5,833,9,5
4,834,6,5
6,835,3,5
18,836,6,5
2,837,7,5
6,838,1,5
17,839,10,5
10,840,5,5
7,841,9,5
13,842,8,5
16,843,6,5
11,844,6,5
11,845,7,5
10,846,6,5
6,847,10,5
19,848,6,5
17,849,10,5
18,850,5,5
7,851,7,5
7,852,3,5
16,853,4,5
14,854,5,5
2,855,10,5
4,856,2,5
3,857,3,5
1,858,5,5
17,859,2,5
18,860,2,5
14,861,3,5
4,862,3,5
12,863,9,5
4,864,7,5
20,865,7,5
20,866,2,5
7,867,3,5
11,868,4,5
1,869,6,5
16,870,8,5
15,871,3,5
11,872,10,5
3,873,3,5
12,874,4,5
3,875,7,5
7,876,2,5
20,877,5,5
15,878,7,5
6,879,2,5
7,880,5,5
4,881,2,5
8,882,6,5
1,883,8,5
17,884,4,5
1,885,9,5
7,886,8,5
3,887,2,5
9,888,8,5
17,889,5,5
16,890,10,5
18,891,6,5
13,892,3,5
5,893,2,5
12,894,7,5
19,895,7,5
9,896,5,5
8,897,5,5
4,898,9,5
3,899,10,5
1,900,5,5
17,901,1,5
14,902,10,5
19,903,1,5
6,904,2,5
8,905,7,5
6,906,8,5
11,907,5,5
17,908,6,5
1,909,2,5
20,910,8,5
18,911,5,5
20,912,7,5
16,913,6,5
16,914,3,5
7,915,8,5
12,916,5,5
17,917,2,5
11,918,8,5
20,919,7,5
4,920,5,5
11,921,2,5
14,922,1,5
14,923,5,5
6,924,10,5
16,925,8,5
7,926,9,5
10,927,5,5
4,928,9,5
17,929,3,5
12,930,9,5
10,931,6,5
6,932,10,5
10,933,6,5
12,934,5,5
2,935,8,5
7,936,9,5
18,937,4,5
4,938,10,5
10,939,7,5
15,940,5,5
2,941,6,5
14,942,1,5
14,943,8,5
10,944,4,5
5,945,9,5
19,946,2,5
16,947,5,5
20,948,2,5
20,949,9,5
1,950,8,5
14,951,2,5
3,952,3,5
14,953,4,5
7,954,3,5
17,955,8,5
19,956,3,5
15,957,2,5
17,958,3,5
14,959,5,5
11,960,2,5
16,961,4,5
1,962,7,5
4,963,4,5
18,964,8,5
19,965,9,5
1,966,2,5
10,967,10,5
16,968,1,5
12,969,6,5
5,970,6,5
13,971,1,5
8,972,8,5
6,973,7,5
13,974,3,5
14,975,3,5
1,976,3,5
15,977,10,5
17,978,2,5
3,979,6,5
10,980,2,5
20,981,2,5
18,982,5,5
11,983,9,5
20,984,9,5
5,985,3,5
8,986,6,5
2,987,1,5
7,988,8,5
10,989,3,5
18,990,1,5
16,991,8,5
15,992,6,5
6,993,4,5
11,994,6,5
19,995,6,5
8,996,2,5
4,997,4,5
8,998,8,5
11,999,1,5
11,1000,9,5
