id,idprato,quantidade,idespaco
170,22,10,1
137,2,6,1
8,19,6,1
141,7,5,1
57,1,5,1
155,2,8,1
73,6,5,1
16,15,6,1
58,9,9,1
128,3,9,1
139,23,5,1
173,18,5,1
141,22,4,1
15,2,2,1
48,20,7,1
6,9,1,1
61,2,4,1
68,2,10,1
159,9,6,1
80,9,2,1
166,8,8,1
101,13,2,1
68,15,8,1
63,6,5,1
116,4,7,1
140,20,6,1
65,22,9,1
124,11,7,1
99,14,9,1
42,21,9,1
121,7,1,1
167,1,2,1
70,23,7,1
110,2,5,1
124,6,4,1
16,4,3,1
186,5,10,1
71,7,5,1
58,22,7,1
184,23,4,1
41,16,5,1
21,19,5,1
167,15,8,1
8,15,8,1
197,15,5,1
33,17,4,1
2,14,8,1
94,15,7,1
38,18,5,1
124,21,3,1
