521,21,8,3
591,11,5,3
555,6,4,3
546,18,3,3
476,2,2,3
472,6,6,3
594,10,2,3
486,7,7,3
442,2,3,3
494,14,6,3
486,12,3,3
470,10,6,3
465,16,8,3
566,5,2,3
500,8,7,3
421,21,9,3
444,22,3,3
490,2,6,3
575,6,10,3
490,22,7,3
506,7,4,3
596,5,8,3
515,18,2,3
492,5,8,3
588,2,7,3
583,9,1,3
407,15,6,3
412,7,4,3
581,22,10,3
538,15,9,3
477,7,10,3
490,23,8,3
578,3,5,3
597,8,7,3
494,13,4,3
578,14,6,3
478,12,5,3
523,11,10,3
572,10,7,3
440,23,8,3
473,15,7,3
495,11,6,3
560,10,3,3
516,16,6,3
425,12,8,3
533,14,5,3
421,9,2,3
448,1,4,3
538,9,10,3
464,7,3,3
