id,idprato,quantidade,idespaco
201,7,6,2
202,2,4,2
203,3,8,2
204,23,5,2
205,20,2,2
206,23,3,2
207,17,1,2
208,15,8,2
209,23,1,2
210,4,7,2
211,12,5,2
212,22,3,2
213,18,8,2
214,18,3,2
215,19,8,2
216,17,1,2
217,13,3,2
218,9,7,2
219,19,2,2
220,22,10,2
221,1,5,2
222,15,1,2
223,20,7,2
224,3,9,2
225,16,6,2
226,2,8,2
227,20,7,2
228,16,3,2
229,5,4,2
230,22,10,2
231,10,3,2
232,22,4,2
233,10,7,2
234,16,6,2
235,9,4,2
236,5,9,2
237,8,9,2
238,22,3,2
239,17,6,2
240,18,6,2
241,18,1,2
242,1,9,2
243,12,10,2
244,18,1,2
245,19,1,2
246,5,8,2
247,16,3,2
248,1,8,2
249,23,3,2
250,3,3,2
251,3,9,2
252,19,3,2
253,2,10,2
254,16,6,2
255,7,3,2
256,2,1,2
257,18,10,2
258,19,10,2
259,5,2,2
260,12,7,2
261,15,8,2
262,16,7,2
263,9,4,2
264,9,1,2
265,11,9,2
266,15,6,2
267,2,7,2
268,4,1,2
269,7,2,2
270,10,8,2
271,16,8,2
272,9,1,2
273,8,3,2
274,13,4,2
275,23,8,2
276,12,2,2
277,22,4,2
278,3,7,2
279,2,2,2
280,6,8,2
281,15,5,2
282,23,3,2
283,21,8,2
284,12,10,2
285,1,9,2
286,7,4,2
287,9,7,2
288,10,7,2
289,21,9,2
290,11,3,2
291,1,1,2
292,11,10,2
293,1,8,2
294,9,1,2
295,19,1,2
296,18,5,2
297,19,2,2
298,14,10,2
299,22,8,2
300,10,5,2
301,22,5,2
302,16,2,2
303,17,3,2
304,18,10,2
305,9,2,2
306,6,5,2
307,5,4,2
308,18,8,2
309,16,3,2
310,20,1,2
311,4,10,2
312,1,1,2
313,19,10,2
314,22,7,2
315,14,8,2
316,16,7,2
317,17,7,2
318,7,10,2
319,4,1,2
320,20,1,2
321,19,7,2
322,14,6,2
323,19,6,2
324,21,1,2
325,15,5,2
326,3,9,2
327,19,4,2
328,5,5,2
329,11,5,2
330,16,2,2
331,5,6,2
332,23,9,2
333,13,4,2
334,9,10,2
335,6,4,2
336,23,6,2
337,12,5,2
338,4,6,2
339,1,6,2
340,11,1,2
341,5,9,2
342,21,3,2
343,23,6,2
344,4,9,2
345,16,5,2
346,14,8,2
347,17,4,2
348,13,5,2
349,7,6,2
350,4,4,2
351,16,2,2
352,9,1,2
353,20,4,2
354,1,3,2
355,13,8,2
356,18,3,2
357,14,5,2
358,22,1,2
359,19,3,2
360,15,2,2
361,17,8,2
362,15,5,2
363,18,1,2
364,8,1,2
365,18,2,2
366,7,6,2
367,14,5,2
368,12,4,2
369,15,8,2
370,22,4,2
371,2,1,2
372,11,4,2
373,1,3,2
374,6,9,2
375,12,4,2
376,13,10,2
377,16,2,2
378,22,5,2
379,23,4,2
380,2,9,2
381,20,7,2
382,11,8,2
383,11,6,2
384,17,1,2
385,17,1,2
386,15,9,2
387,12,10,2
388,21,6,2
389,21,1,2
390,20,10,2
391,3,5,2
392,11,2,2
393,7,9,2
394,17,1,2
395,7,2,2
396,13,10,2
397,12,7,2
398,11,3,2
399,20,6,2
400,11,4,2
