id,idprato,quantidade,idespaco
1,17,6,1
2,2,8,1
3,20,3,1
4,2,5,1
5,7,8,1
6,5,2,1
7,22,1,1
8,12,3,1
9,1,1,1
10,6,1,1
11,5,5,1
12,5,4,1
13,14,5,1
14,2,4,1
15,12,4,1
16,19,8,1
17,12,8,1
18,10,2,1
19,15,1,1
20,8,7,1
21,2,7,1
22,5,10,1
23,1,10,1
24,4,10,1
25,15,7,1
26,7,9,1
27,17,8,1
28,22,9,1
29,2,1,1
30,3,6,1
31,5,9,1
32,19,5,1
33,21,4,1
34,9,4,1
35,8,9,1
36,11,5,1
37,14,1,1
38,13,1,1
39,21,3,1
40,15,9,1
41,5,5,1
42,5,1,1
43,17,8,1
44,1,2,1
45,14,5,1
46,14,10,1
47,21,6,1
48,23,5,1
49,1,8,1
50,21,5,1
51,8,2,1
52,14,2,1
53,14,7,1
54,11,10,1
55,7,2,1
56,21,6,1
57,6,10,1
58,13,5,1
59,23,3,1
60,4,10,1
61,19,4,1
62,3,10,1
63,11,8,1
64,8,3,1
65,18,9,1
66,7,2,1
67,18,4,1
68,13,5,1
69,5,10,1
70,5,7,1
71,17,5,1
72,5,4,1
73,21,1,1
74,9,1,1
75,20,9,1
76,14,5,1
77,9,1,1
78,16,2,1
79,12,4,1
80,9,7,1
81,18,10,1
82,7,4,1
83,20,6,1
84,14,2,1
85,19,7,1
86,3,10,1
87,1,2,1
88,12,3,1
89,14,2,1
90,14,6,1
91,2,5,1
92,15,2,1
93,11,3,1
94,5,8,1
95,1,1,1
96,13,1,1
97,10,4,1
98,15,4,1
99,18,9,1
100,10,2,1
101,10,1,1
102,15,9,1
103,8,4,1
104,12,7,1
105,20,8,1
106,7,7,1
107,20,10,1
108,10,1,1
109,12,1,1
110,23,6,1
111,22,1,1
112,13,1,1
113,11,3,1
114,7,8,1
115,3,9,1
116,15,9,1
117,8,8,1
118,14,1,1
119,9,2,1
120,11,5,1
121,5,6,1
122,1,5,1
123,15,1,1
124,17,1,1
125,6,10,1
126,9,3,1
127,2,2,1
128,13,4,1
129,22,9,1
130,22,4,1
131,1,2,1
132,1,2,1
133,13,1,1
134,23,8,1
135,8,8,1
136,20,4,1
137,21,6,1
138,5,7,1
139,8,3,1
140,11,6,1
141,11,8,1
142,5,7,1
143,15,3,1
144,23,2,1
145,22,5,1
146,11,5,1
147,17,6,1
148,17,9,1
149,15,5,1
150,14,2,1
151,9,8,1
152,6,6,1
153,10,5,1
154,9,10,1
155,10,4,1
156,16,4,1
157,20,9,1
158,11,6,1
159,1,6,1
160,12,2,1
161,6,8,1
162,9,8,1
163,9,1,1
164,13,8,1
165,13,6,1
166,6,5,1
167,1,9,1
168,5,4,1
169,17,9,1
170,19,7,1
171,10,6,1
172,18,8,1
173,3,3,1
174,4,4,1
175,15,4,1
176,13,2,1
177,3,6,1
178,1,8,1
179,19,9,1
180,12,8,1
181,13,4,1
182,20,3,1
183,22,2,1
184,11,3,1
185,23,4,1
186,18,9,1
187,14,2,1
188,12,7,1
189,21,10,1
190,15,8,1
191,7,1,1
192,4,9,1
193,19,8,1
194,23,7,1
195,2,9,1
196,8,5,1
197,10,2,1
198,6,7,1
199,4,2,1
200,6,1,1
