18,494,1
21,919,1
13,275,2
21,631,4
4,713,4
11,75,2
19,754,1
3,642,4
21,363,5
12,116,3
11,58,3
1,627,3
3,815,1
2,715,3
5,262,5
11,576,2
1,85,4
7,221,5
18,129,1
2,294,5
19,751,5
19,213,4
8,449,3
21,46,1
15,818,4
11,615,2
14,67,3
14,759,2
5,978,5
5,296,5
5,674,4
4,849,1
4,518,5
9,25,1
21,644,1
13,38,2
6,715,3
9,441,1
15,861,2
17,198,5
16,622,4
6,88,2
2,716,2
16,723,3
17,711,1
8,243,5
4,323,3
15,112,4
4,85,4
2,9,3
14,527,4
16,975,5
11,816,1
4,152,1
6,219,4
12,778,4
8,773,2
1,879,5
12,721,4
16,64,1
12,614,2
13,121,3
21,317,3
11,927,2
12,554,5
3,551,2
14,73,2
15,71,2
6,251,4
17,665,1
7,139,2
11,831,5
14,141,5
1,346,2
8,79,3
11,414,4
18,618,2
6,41,5
2,381,4
7,363,3
6,592,1
12,362,1
19,242,2
13,437,3
19,255,5
13,139,2
6,832,3
21,442,3
5,451,5
21,737,3
16,533,5
18,414,2
13,222,2
14,141,3
6,739,2
11,412,1
17,741,2
5,815,3
21,711,2
11,47,1
11,88,1
11,831,5
21,196,5
5,31,1
1,231,4
3,82,5
11,577,3
7,876,3
18,699,3
11,79,4
8,415,5
1,861,3
5,893,5
5,419,3
16,678,1
12,368,2
7,685,3
1,411,2
9,421,4
16,354,3
16,115,1
1,811,1
19,744,5
21,684,5
11,434,5
8,2,4
14,75,2
11,711,3
5,871,4
19,412,5
11,912,4
19,228,2
11,869,2
3,686,4
1,312,4
19,666,4
9,971,1
21,217,4
16,93,4
14,685,4
4,913,5
17,544,2
19,64,1
14,584,4
3,878,4
3,225,4
1,219,5
6,919,4
19,77,4
15,791,4
2,562,5
6,375,4
2,411,5
2,366,2
1,821,2
4,422,3
14,644,2
11,596,4
18,671,3
12,591,5
17,511,1
19,478,5
13,491,2
4,981,1
18,913,5
11,644,5
17,283,3
9,266,1
21,511,3
16,28,2
9,885,3
19,418,4
9,527,4
1,582,4
9,696,3
8,56,4
8,888,1
19,7,4
11,31,5
8,29,3
1,981,1
13,49,2
18,657,2
1,413,4
11,711,1
13,614,4
6,891,1
7,196,1
3,494,1
2,952,2
8,11,2
9,117,5
11,462,5
11,289,2
11,911,5
4,217,4
7,551,1
3,427,2
1,548,4
13,429,1
7,558,2
1,981,5
6,537,2
1,419,1
6,746,3
12,646,5
3,153,5
16,961,4
9,725,4
8,931,4
8,993,2
5,262,5
17,513,2
11,293,3
6,512,1
5,755,2
15,661,1
1,747,1
14,896,1
17,913,3
5,243,4
21,841,3
1,216,3
11,318,4
16,763,3
21,285,3
11,835,1
4,214,4
16,987,3
2,921,1
9,333,5
5,295,2
12,321,1
1,373,4
19,77,3
14,212,2
11,713,5
19,894,5
9,444,1
14,93,3
21,313,4
17,646,1
6,44,5
11,872,2
5,219,1
19,64,2
21,988,2
17,564,2
21,894,4
11,785,5
16,527,3
15,438,1
18,293,1
17,137,2
1,918,4
1,212,4
5,333,2
11,647,2
8,121,1
9,238,2
1,912,1
1,598,2
16,353,5
7,296,2
11,424,3
2,141,5
21,17,1
16,781,5
6,871,5
2,935,3
5,577,3
11,211,3
1,377,2
5,864,1
5,862,3
17,112,5
2,822,1
7,235,4
19,18,4
2,626,1
13,183,3
7,656,4
1,841,3
5,221,4
4,911,5
4,156,1
9,419,1
1,946,5
7,428,3
2,211,5
21,212,3
2,879,4
11,576,5
19,67,2
3,989,5
1,519,4
12,913,5
3,231,4
12,819,5
11,518,1
6,573,1
4,484,4
11,186,2
2,463,3
16,339,5
6,115,2
21,993,1
6,881,3
1,433,5
18,441,4
16,544,5
11,176,1
21,555,2
21,527,5
5,51,3
15,749,5
5,512,3
4,88,2
8,819,3
19,336,3
5,266,5
1,11,4
13,3,3
11,16,1
13,911,5
19,934,5
17,467,4
3,511,4
1,479,2
18,721,2
11,611,4
9,66,4
21,233,4
12,457,1
1,921,5
19,834,4
16,277,1
14,312,2
8,546,5
3,636,2
9,967,2
7,515,1
3,816,2
6,614,1
3,492,1
11,677,4
7,194,3
5,323,5
1,771,3
4,431,4
2,214,3
1,642,2
5,1111,3
16,885,3
12,673,3
6,664,2
1,825,1
15,856,2
3,938,5
3,161,1
18,195,2
6,854,3
21,318,5
5,17,4
12,524,5
8,23,2
2,837,4
15,456,5
16,981,4
17,299,3
6,731,4
11,589,3
4,625,2
1,461,2
11,117,5
2,981,3
18,464,1
7,581,3
16,395,5
19,132,4
19,521,3
7,181,3
3,613,3
13,5,2
6,666,5
7,217,2
4,731,2
1,355,1
19,225,2
15,617,5
3,355,2
7,647,1
1,383,3
13,712,1
7,169,1
4,273,4
14,282,4
11,43,3
16,552,5
11,746,4
3,723,3
17,852,3
16,915,1
9,985,3
12,511,5
8,718,4
14,832,2
4,256,3
8,657,2
5,112,5
1,112,3
16,485,4
4,619,1
5,225,5
6,84,4
16,445,2
18,989,4
3,849,2
2,266,2
14,675,4
19,711,1
1,652,5
4,49,1
9,419,5
1,991,3
8,594,5
21,788,4
2,672,3
6,561,1
11,967,3
3,167,1
21,591,4
19,991,1
5,175,4
7,227,4
12,171,2
14,618,4
16,215,2
7,881,1
21,781,3
5,728,4
15,892,5
12,982,4
11,436,1
18,844,2
11,79,2
7,613,3
3,9,3
3,413,1
5,864,1
16,663,3
7,211,4
5,38,5
6,112,2
5,896,1
11,865,5
14,183,1
1,959,4
21,339,1
2,911,1
15,581,5
5,192,5
19,455,1
19,269,2
15,923,4
9,975,1
21,266,3
1,599,1
8,425,1
17,193,5
14,151,5
1,846,3
21,995,5
1,832,5
19,469,2
5,885,1
5,618,2
6,419,1
3,41,1
9,57,2
11,211,4
11,822,1
19,443,3
4,312,1
9,724,2
13,88,5
6,334,4
13,211,5
11,124,1
5,318,3
6,395,5
11,629,4
9,797,1
2,161,4
17,353,1
21,928,3
19,355,4
2,969,4
1,811,3
2,844,2
2,513,3
11,233,4
3,486,2
4,551,2
16,221,3
5,534,2
1,823,2
21,833,1
13,558,4
1,111,3
5,663,3
19,119,4
15,678,3
21,512,1
9,371,3
5,811,5
4,354,3
1,588,4
15,223,1
5,542,4
6,941,5
16,333,3
15,613,3
7,178,5
19,846,1
2,419,1
1,141,4
21,571,3
21,276,3
5,56,5
13,21,1
1,797,4
13,181,2
11,512,4
1,49,5
18,942,4
8,257,5
21,971,1
16,936,3
9,258,3
18,383,1
18,553,1
16,481,3
1,158,1
12,619,1
15,711,3
13,471,4
1,617,5
21,199,3
16,864,5
5,194,5
13,479,2
14,361,2
19,165,5
7,597,1
13,562,2
19,284,2
13,114,2
19,593,4
3,24,4
11,517,3
4,521,1
15,221,3
13,992,1
3,629,5
14,811,2
8,493,2
12,317,2
14,852,5
17,875,4
15,423,3
11,631,1
11,968,1
1,993,5
3,111,2
12,411,2
1,72,3
3,365,1
12,457,3
16,371,4
5,432,5
5,719,3
7,318,4
12,398,5
6,133,2
1,214,2
6,347,5
6,611,2
5,411,3
1,412,2
12,325,4
21,151,1
12,449,3
5,189,4
14,967,5
12,869,3
12,545,4
2,316,5
17,113,3
6,165,4
16,241,3
3,688,2
12,169,1
16,286,2
11,771,1
16,778,5
2,398,4
14,33,3
16,854,5
9,624,5
11,219,4
9,978,5
1,469,4
9,995,5
18,714,1
15,766,3
12,979,3
7,235,5
19,771,5
9,478,4
18,419,2
14,425,1
17,432,2
9,523,5
8,51,2
19,345,3
18,181,3
6,734,4
21,531,2
9,572,3
19,329,4
4,268,1
9,221,1
9,44,2
12,991,4
14,886,5
17,568,1
16,928,2
15,945,4
2,949,3
9,645,1
16,544,4
1,711,5
11,62,5
11,125,5
1,695,3
11,337,4
8,322,2
11,141,1
2,148,2
14,212,2
16,66,4
12,191,4
11,521,3
13,578,3
11,668,2
12,362,4
1,327,1
8,882,5
14,516,1
1,358,3
7,487,4
13,721,4
5,922,4
21,851,4
5,816,3
11,614,1
11,838,1
14,583,3
3,371,3
1,371,4
14,89,1
18,115,1
18,718,3
6,841,5
17,113,1
17,395,1
11,535,2
11,73,2
6,291,4
16,988,4
17,181,4
6,994,5
11,176,4
4,754,3
6,629,2
11,168,5
6,357,3
13,71,1
4,265,3
14,336,3
18,929,4
12,988,2
16,554,2
14,913,2
6,838,1
18,35,1
8,314,4
6,195,3
18,285,1
21,441,1
13,71,1
1,132,5
17,413,3
19,875,1
5,348,3
21,573,5
14,788,4
11,11,5
8,498,4
12,325,4
15,642,5
6,247,2
1,383,4
3,918,2
11,165,3
17,172,4
8,518,5
11,748,4
